uid,name,type,maker,bpr,pr,thr,ff_to,ff_co,ff_app,ff_idl,fuel_lto
3CM021,CFM56-5B4/2P,TF,CFM International,5.9,27.7,120100,1.14,0.95,0.34,0.12,442
8CM055,CFM56-5B4/3,TF,CFM International,5.7,27.3,120100,1.142,0.939,0.316,0.102,407
3CM026,CFM56-5B4/P,TF,GE,5.9,27.69,120110,1.132,0.935,0.312,0.104,408
8CM056,CFM56-5B5/3,TF,CFM International,6,23.1,97900,0.894,0.743,0.264,0.092,343
3CM027,CFM56-5B5/P,TF,GE,5.9,23.33,97890,0.891,0.742,0.26,0.094,344
2CM019,CFM56-5B6/2,TF,CFMI,5.7,24.8,104500,0.998,0.827,0.315,0.111,400
3CM022,CFM56-5B6/2P,TF,CFM International,6,24.6,104500,0.97,0.81,0.31,0.11,394
8CM057,CFM56-5B6/3,TF,CFM International,5.9,24.3,104500,0.965,0.8,0.279,0.095,361
3CM028,CFM56-5B6/P,TF,GE,6,24.64,104530,0.961,0.799,0.275,0.097,363
8CM058,CFM56-5B7/3,TF,CFM International,5.7,27.3,120100,1.142,0.939,0.316,0.102,407
6CM044,CFM56-5B7/P,TF,GE,5.9,27.69,120110,1.132,0.935,0.312,0.104,408
8CM059,CFM56-5B8/3,TF,CFM International,6,22.7,96100,0.875,0.727,0.26,0.091,338
7CM048,CFM56-5B8/P,TF,CFM International,5.9,22.6,94700,0.875,0.729,0.262,0.094,342
7CM050,CFM56-5B9/2P,TF,CFM International,5.9,24.4,102200,0.961,0.799,0.296,0.105,381
8CM060,CFM56-5B9/3,TF,CFM International,5.9,24.2,103600,0.956,0.793,0.278,0.095,359
7CM049,CFM56-5B9/P,TF,CFM International,5.9,24,102200,0.954,0.794,0.28,0.098,365
1CM010,CFM56-5C2,MTF,CFMI,6.8,28.8,138780,1.308,1.076,0.3558,0.1175,466
7CM045,CFM56-5C2/P,MTF,CFM International,6.8,28.2,137610,1.252,1.035,0.342,0.109,441
1CM011,CFM56-5C3,MTF,CFMI,6.7,29.9,144570,1.373,1.131,0.37,0.1203,483
7CM046,CFM56-5C3/P,MTF,CFM International,6.7,29.2,143330,1.316,1.085,0.355,0.112,458
2CM015,CFM56-5C4,MTF,CFMI,6.6,31.15,151250,1.456,1.195,0.386,0.124,505
7CM047,CFM56-5C4/P,MTF,CFM International,6.6,30.5,149900,1.395,1.143,0.37,0.115,478
3CM029,CFM56-7B18,TF,GE,5.5,21.59,86740,0.854,0.714,0.26,0.097,344
8CM061,CFM56-7B18/3,TF,CFM International,5.5,21.4,86700,0.842,0.702,0.256,0.092,333
3CM030,CFM56-7B20,TF,GE,5.4,22.61,91630,0.913,0.761,0.274,0.1,361
4CM039,CFM56-7B20/2,TF,GE,5.4,22.77,91630,0.903,0.754,0.278,0.102,363
8CM062,CFM56-7B20/3,TF,CFM International,5.5,22.4,91600,0.896,0.746,0.268,0.094,348
11CM067,CFM56-7B20E,TF,CFM International,5.5,22.4,91600,0.896,0.746,0.268,0.094,348
3CM031,CFM56-7B22,TF,GE,5.3,24.41,100970,1.021,0.844,0.298,0.105,390
4CM040,CFM56-7B22/2,TF,GE,5.3,24.61,100970,1.008,0.837,0.303,0.105,389
8CM063,CFM56-7B22/3,TF,CFM International,5.3,24.2,101000,1.004,0.832,0.291,0.099,377
11CM068,CFM56-7B22E,TF,CFM International,5.3,24.2,101000,1.004,0.832,0.291,0.099,376
11CM069,CFM56-7B22E/B1,TF,CFM International,5.3,24.2,101000,1.004,0.832,0.291,0.099,376
3CM032,CFM56-7B24,TF,GE,5.2,25.78,107650,1.103,0.91,0.316,0.109,412
4CM041,CFM56-7B24/2,TF,GE,5.2,25.95,107650,1.089,0.902,0.313,0.109,410
8CM064,CFM56-7B24/3,TF,CFM International,5.3,25.6,107600,1.086,0.895,0.308,0.103,398
11CM070,CFM56-7B24E,TF,CFM International,5.3,25.6,107600,1.086,0.895,0.308,0.103,398
11CM071,CFM56-7B24E/B1,TF,CFM International,5.3,25.6,107600,1.086,0.895,0.308,0.103,398
8CM051,CFM56-7B26,TF,GE,5.1,27.61,116990,1.221,0.999,0.338,0.113,441
4CM042,CFM56-7B26/2,TF,GE,5.1,27.8,116990,1.203,0.989,0.334,0.113,438
8CM065,CFM56-7B26/3,TF,CFM International,5.1,27.7,117000,1.213,0.986,0.331,0.108,429
11CM072,CFM56-7B26E,TF,CFM International,5.1,27.7,117000,1.213,0.986,0.331,0.108,429
11CM073,CFM56-7B26E/B1,TF,CFM International,5.1,27.7,117000,1.213,0.986,0.331,0.108,429
11CM074,CFM56-7B26E/B2,TF,CFM International,5.1,27.7,117000,1.213,0.986,0.331,0.108,429
11CM076,CFM56-7B26E/B2F,TF,CFM International,5.1,27.7,117000,1.213,0.986,0.331,0.108,429
11CM075,CFM56-7B26E/F,TF,CFM International,5.1,27.7,117000,1.213,0.986,0.331,0.108,429
3CM034,CFM56-7B27,TF,GE,5,28.63,121440,1.284,1.043,0.349,0.116,456
4CM043,CFM56-7B27/2,TF,GE,5,28.84,121440,1.265,1.033,0.351,0.115,453
8CM066,CFM56-7B27/3,TF,CFM International,5.1,29,121400,1.293,1.031,0.343,0.11,444
11CM080,CFM56-7B27AE,TF,CFM International,5.1,29,121400,1.293,1.031,0.343,0.11,444
11CM077,CFM56-7B27E,TF,CFM International,5.1,29,121400,1.293,1.031,0.343,0.11,444
11CM078,CFM56-7B27E/B1,TF,CFM International,5.1,29,121400,1.293,1.031,0.343,0.11,444
11CM082,CFM56-7B27E/B1F,TF,CFM International,5.1,29,121400,1.293,1.031,0.343,0.11,444
11CM079,CFM56-7B27E/B3,TF,CFM International,5.1,29,121400,1.293,1.031,0.343,0.11,444
11CM081,CFM56-7B27E/F,TF,CFM International,5.1,29,121400,1.293,1.031,0.343,0.11,444
9EA001,GP7270,TF,Engine Alliance,8.71,36.62,332390,2.637,2.169,0.711,0.234,932
11GE140,CF34-10A16,TF,GE Transportation,5.7,25.1,76900,0.765,0.632,0.219,0.083,298
11GE141,CF34-10A18,TF,GE Transportation,5.4,26.5,82100,0.826,0.684,0.232,0.086,315
8GE114,CF34-10E2A1,TF,GE Transportation,5.09,25.1,75440,0.769,0.64,0.222,0.084,301
8GE115,CF34-10E5,TF,GE Transportation,5.09,25.6,77400,0.792,0.659,0.227,0.085,307
8GE117,CF34-10E5A1,TF,GE Transportation,5.09,27.3,83700,0.871,0.72,0.244,0.088,328
8GE116,CF34-10E6,TF,GE Transportation,5.09,25.6,77400,0.792,0.659,0.227,0.085,307
8GE118,CF34-10E6A1,TF,GE Transportation,5.09,27.3,83700,0.871,0.72,0.244,0.088,328
8GE119,CF34-10E7,TF,GE Transportation,5.09,27.3,83700,0.871,0.72,0.244,0.088,328
11GE147,CF34-10E7-B,TF,GE Transportation,5.09,27.2,83700,0.87,0.717,0.239,0.088,326
1GE034,CF34-3A,TF,GE Aircraft Engines,6.25,19.7,41010,0.407,0.3343,0.119,0.0496,167
1GE035,CF34-3A1,TF,GE Aircraft Engines,6.25,19.7,41010,0.407,0.3343,0.119,0.0496,167
5GE084,CF34-3B,TF,GE,6.25,19.3,41010,0.3991,0.3288,0.116,0.0489,164
6GE096,CF34-8C1,TF,GE Aircraft Engines,5.13,22.15,56360,0.608,0.479,0.1702,0.0703,239
8GE110,CF34-8C5,TF,GE,5.13,23.09,59420,0.648,0.53,0.179,0.064,240
8GE107,CF34-8C5A1,TF,GE,5.13,23.49,60620,0.665,0.543,0.183,0.065,245
8GE104,CF34-8C5A2,TF,GE,5.13,24.12,62490,0.691,0.563,0.188,0.066,251
8GE103,CF34-8C5A3,TF,GE,5.13,24.82,64530,0.721,0.586,0.193,0.067,259
8GE112,CF34-8C5B1,TF,GE,5.13,22.08,56350,0.606,0.497,0.171,0.063,230
8GE113,CF34-8E2,TF,GE,5.13,21.71,55190,0.591,0.485,0.168,0.062,226
8GE111,CF34-8E2A1,TF,GE,5.13,23,59150,0.644,0.527,0.179,0.064,240
8GE108,CF34-8E5,TF,GE,5.13,23.18,59680,0.652,0.533,0.18,0.064,241
8GE105,CF34-8E5A1,TF,GE,5.13,24.12,62490,0.691,0.563,0.188,0.066,251
8GE102,CF34-8E5A2,TF,GE,5.13,24.82,64530,0.721,0.586,0.193,0.067,259
8GE109,CF34-8E6,TF,GE,5.13,23.18,59680,0.652,0.533,0.18,0.064,241
8GE106,CF34-8E6A1,TF,GE,5.13,24.12,62490,0.691,0.563,0.188,0.066,251
3GE067,CF6-45A,TF,GE,4.3,25.38,202800,2.027,1.663,0.592,0.163,701
3GE068,CF6-45A2,TF,GE,4.3,25.38,202800,2.027,1.663,0.592,0.163,701
3GE069,CF6-50A,TF,GE,4.3,26.88,215300,2.168,1.787,0.625,0.163,731
3GE070,CF6-50C,TF,GE,4.3,27.76,224200,2.281,1.875,0.641,0.163,751
3GE073,CF6-50C1,TF,GE,4.3,28.44,230400,2.361,1.94,0.663,0.163,769
1GE007,"CF6-50C1, -C2",TF,GE Aircraft Engines,4.3,29.8,230400,2.487,1.975,0.66,0.215,859
3GE074,CF6-50C2,TF,GE,4.3,28.44,230400,2.361,1.94,0.663,0.163,769
3GE078,CF6-50C2B,TF,GE,4.3,29.06,236700,2.41,1.997,0.667,0.163,779
3GE072,CF6-50C2R,TF,GE,4.3,27.76,224200,2.281,1.875,0.641,0.163,751
3GE071,CF6-50CA,TF,GE,4.3,27.76,224200,2.281,1.875,0.641,0.163,751
3GE075,CF6-50E,TF,GE,4.3,28.44,230400,2.361,1.94,0.663,0.163,769
3GE076,CF6-50E1,TF,GE,4.3,28.44,230400,2.361,1.94,0.663,0.163,769
3GE077,CF6-50E2,TF,GE,4.3,28.44,230400,2.361,1.94,0.663,0.163,769
3GE079,CF6-50E2B,TF,GE,4.3,29.06,236700,2.41,1.997,0.667,0.163,779
1GE001,CF6-6D,TF,GE Aircraft Engines,5.9,24.7,174800,1.736,1.431,0.4839,0.1728,648
1GE002,CF6-6D1A,TF,GE Aircraft Engines,5.9,25.4,181900,1.812,1.502,0.494,0.176,667
1GE003,CF6-6K,TF,GE Aircraft Engines,5.9,24.7,174800,1.736,1.431,0.4839,0.1728,648
1GE004,CF6-6K2,TF,GE Aircraft Engines,5.9,25.4,181900,1.812,1.502,0.494,0.176,667
1GE010,CF6-80A,TF,GE Aircraft Engines,5,29,208800,2.145,1.795,0.615,0.15,709
1GE011,CF6-80A1,TF,GE Aircraft Engines,5,29,209000,2.145,1.795,0.615,0.15,709
1GE012,CF6-80A2,TF,GE Aircraft Engines,5,30.1,216500,2.254,1.885,0.641,0.15,731
1GE013,CF6-80A3,TF,GE Aircraft Engines,5,30.1,217800,2.254,1.885,0.641,0.15,731
2GE036,CF6-80C2A1,TF,GE,5.1,30.53,257399,2.453,1.989,0.651,0.201,835
2GE037,CF6-80C2A2,TF,GE,5.1,27.79,233350,2.152,1.771,0.59,0.192,765
2GE038,CF6-80C2A3,TF,GE,5.1,31.09,262220,2.516,2.041,0.662,0.203,851
2GE039,CF6-80C2A5,TF,GE,5.1,31.66,267340,2.58,2.096,0.672,0.205,866
3GE056,CF6-80C2A5F,TF,GE,5.1,32.88,271880,2.63,2.106,0.691,0.22,897
2GE040,CF6-80C2A8,TF,GE,5.1,30.45,257370,2.444,1.989,0.651,0.201,835
2GE041,CF6-80C2B1,TF,GE,5.1,29.53,249010,2.34,1.922,0.63,0.197,811
2GE045,CF6-80C2B1F,TF,GE,5.1,30.13,254260,2.422,1.983,0.65,0.199,830
2GE042,CF6-80C2B2,TF,GE,5.1,27.53,231080,2.124,1.756,0.585,0.19,758
2GE046,CF6-80C2B2F,TF,GE,5.1,27.6,231350,2.148,1.777,0.593,0.188,760
2GE043,CF6-80C2B4,TF,GE,5.1,30.14,254350,2.409,1.965,0.641,0.201,828
2GE047,CF6-80C2B4F,TF,GE,5.1,30.22,254790,2.432,1.983,0.65,0.199,830
3GE057,CF6-80C2B5F,TF,GE,5.1,32.82,272530,2.685,2.162,0.697,0.206,887
2GE044,CF6-80C2B6,TF,GE,5.1,31.66,267200,2.58,2.096,0.672,0.205,866
2GE048,CF6-80C2B6F,TF,GE,5.1,31.72,267030,2.594,2.104,0.682,0.203,867
2GE055,CF6-80C2B7F,TF,GE,5.1,31.72,267030,2.594,2.104,0.682,0.203,867
8GE101,CF6-80C2B8F,TF,GE,5.1,31.37,267000,2.583,2.106,0.685,0.205,870
3GE058,CF6-80C2B8FA,TF,GE,5.1,31.71,267020,2.605,2.117,0.688,0.205,874
2GE049,CF6-80C2D1F,TF,GE,5.1,32.05,269960,2.629,2.126,0.688,0.205,876
2GE050,CF6-80E1A1,TF,GE,5.1,32.46,281530,2.702,2.199,0.714,0.226,928
2GE051,CF6-80E1A2,TF,GE,5.1,33.1,287040,2.767,2.245,0.724,0.228,942
5GE085,CF6-80E1A3,TF,GE,5.1,35.7,304800,2.989,2.387,0.755,0.227,976
4GE081,CF6-80E1A4,TF,GE,5.1,34.5,297440,2.904,2.337,0.744,0.227,963
7GE097,GE90-110B1,TF,GE Transportation,7.34,39.73,492600,4.32,3.47,1.08,0.37,1479
7GE098,GE90-113B,TF,GE Transportation,7.17,41.21,504900,4.53,3.58,1.11,0.38,1518
7GE099,GE90-115B,TF,GE Transportation,7.08,42.24,513900,4.69,3.67,1.13,0.38,1546
9GE124,GE90-76B,TF,GE,8.53,35.5,363220,2.796,2.281,0.738,0.258,999
9GE125,GE90-77B,TF,GE,8.52,35.8,366750,2.83,2.309,0.745,0.26,1007
9GE126,GE90-85B,TF,GE,8.41,38.16,397210,3.131,2.553,0.804,0.271,1085
9GE127,GE90-90B,TF,GE,8.36,39.85,419250,3.38,2.735,0.852,0.28,1144
3GE066,GE90-92B,TF,GE,8.33,40.6,426720,3.515,2.844,0.917,0.304,1217
9GE128,GE90-94B,TF,GE,8.33,40.82,430920,3.513,2.831,0.876,0.284,1175
11GE134,GEnx-1B54,TF,GE Aviation,9.4,35.2,255300,1.878,1.553,0.523,0.184,696
11GE135,GEnx-1B58,TF,GE Aviation,9.2,37.2,271300,2.019,1.667,0.554,0.19,734
11GE136,GEnx-1B64,TF,GE Aviation,9,40.6,298000,2.265,1.861,0.604,0.199,796
11GE137,GEnx-1B67,TF,GE Aviation,8.9,41.9,308700,2.368,1.94,0.625,0.203,822
11GE138,GEnx-1B70,TF,GE Aviation,8.8,43.5,321600,2.494,2.037,0.65,0.208,854
11GE139,GEnx-2B67,TF,GE Aviation,8,42.4,299800,2.451,2.012,0.701,0.216,874
12GE148,GEnx-1B54/P1,TF,GE Aviation,9.4,35.1,255300,1.893,1.569,0.536,0.195,719
12GE149,GEnx-1B58/P1,TF,GE Aviation,9.2,37.1,271300,2.033,1.683,0.567,0.2,756
12GE150,GEnx-1B64/P1,TF,GE Aviation,9,40.5,298000,2.278,1.876,0.618,0.21,819
12GE151,GEnx-1B67/P1,TF,GE Aviation,8.9,41.9,308700,2.38,1.954,0.639,0.214,845
12GE152,GEnx-1B70/P1,TF,GE Aviation,8.8,43.5,321600,2.505,2.051,0.664,0.219,876
12GE153,GEnx-1B70/72/P1,TF,GE Aviation,8.8,43.5,321600,2.505,2.051,0.664,0.219,876
12GE154,GEnx-1B70/75/P1,TF,GE Aviation,8.8,43.5,321600,2.505,2.051,0.664,0.219,876
12GE155,GEnx-1B74/75/P1,TF,GE Aviation,8.8,46,341200,2.709,2.202,0.703,0.226,926
12GE156,GEnx-1B75/P1,TF,GE Aviation,8.8,46.5,345200,2.753,2.234,0.711,0.227,936
13GE167,GEnx-1B54/P2,TF,GE Aviation,9.39,35.5,255300,1.88,1.554,0.527,0.203,727
13GE166,GEnx-1B58/P2,TF,GE Aviation,9.24,37.5,271300,2.023,1.668,0.558,0.203,756
13GE165,GEnx-1B64/P2,TF,GE Aviation,9.01,40.9,298000,2.273,1.863,0.609,0.204,806
13GE164,GEnx-1B67/P2,TF,GE Aviation,8.92,42.2,308700,2.376,1.943,0.629,0.209,833
13GE163,GEnx-1B70/72/P2,TF,GE Aviation,8.81,43.9,321600,2.504,2.042,0.654,0.213,865
13GE162,GEnx-1B70/75/P2,TF,GE Aviation,8.81,43.9,321600,2.504,2.042,0.654,0.213,865
13GE161,GEnx-1B70/P2,TF,GE Aviation,8.81,43.9,321600,2.504,2.042,0.654,0.213,865
13GE160,GEnx-1B74/75/P2,TF,GE Aviation,8.65,46.4,341200,2.704,2.196,0.693,0.221,914
13GE159,GEnx-1B75/P2,TF,GE Aviation,8.62,47,345200,2.746,2.229,0.701,0.222,924
16GE168,GEnx-1B76/P2,TF,GE Aviation,8.59,47.5,349200,2.79,2.262,0.709,0.223,934
16GE169,GEnx-1B76A/P2,TF,GE Aviation,8.59,47.5,349200,2.79,2.262,0.709,0.223,934
13GE157,GEnx-2B67B,TF,GE Aviation,8,42.4,299800,2.451,2.012,0.701,0.216,874
13GE158,GEnx-2B67/P,TF,GE Aviation,8.03,43.55,299810,2.453,2.009,0.642,0.219,864
11HN003,HTF7000,MTF,Honeywell,4.2,21.95,30620,0.347,0.288,0.104,0.048,152
11HN005,HTF7250G,MTF,Honeywell,4.2,22.58,32860,0.372,0.308,0.107,0.049,158
14HN009,HTF7350,MTF,Honeywell,4.2,22.88,33000,0.373,0.309,0.107,0.048,157
14HN008,HTF7500E,MTF,Honeywell,4.2,23.57,33830,0.378,0.312,0.108,0.05,161
1IA001,V2500-A1,MTF,International Aero Engines,5.3,29.8,111200,1.113,0.924,0.334,0.124,442
10IA011,V2522-A5,MTF,IAE International Aero Engines,4.9,25.7,102500,0.971,0.815,0.31,0.13,425
10IA012,V2524-A5,MTF,IAE International Aero Engines,4.8,27,108900,1.04,0.867,0.326,0.133,444
1IA002,V2525-D5,MTF,International Aero Engines,4.82,27.2,111200,1.053,0.88,0.319,0.128,437
10IA013,V2527-A5,MTF,IAE International Aero Engines,4.8,27.1,110300,1.049,0.873,0.328,0.134,447
10IA014,V2527-A5E,MTF,IAE International Aero Engines,4.8,27.1,110300,1.049,0.873,0.328,0.134,447
10IA015,V2527-A5M,MTF,IAE International Aero Engines,4.8,27.1,110300,1.049,0.873,0.328,0.134,447
8IA010,V2527E-A5,MTF,International Aero Engines,4.82,27.2,111200,1.053,0.88,0.319,0.128,437
8IA009,V2527M-A5,MTF,International Aero Engines,4.82,27.2,111200,1.053,0.88,0.319,0.128,437
1IA004,V2528-D5,MTF,International Aero Engines,4.66,30,124500,1.209,0.996,0.353,0.134,476
10IA016,V2530-A5,MTF,IAE International Aero Engines,4.6,32,133000,1.325,1.078,0.387,0.145,517
10IA017,V2533-A5,MTF,IAE International Aero Engines,4.5,33.7,140600,1.433,1.142,0.405,0.147,537
14IA018,V2531-E5,MTF,IAE International Aero Engines,4.52,32.3,134800,1.329,1.079,0.391,0.144,517
1KK002,NK-8-2U,MTF,KKBM,1.24,10.8,103000,1.75,1.33,0.55,0.22,724
1KK003,NK-86,MTF,KKBM,1.33,13.4,127530,2.4,1.6,0.58,0.21,779
1KK004,NK-86A,MTF,KKBM,1.13,13.2,130470,2.05,1.7,0.6,0.235,821
1KK005,NK-86MA,MTF,KKBM,1.13,13.2,130470,2.05,1.7,0.6,0.235,821
11PJ001,SaM146-1S17,MTF,PowerJet S.A.,4.44,21.85,69210,0.791,0.653,0.228,0.097,326
11PJ002,SaM146-1S18,MTF,PowerJet S.A.,4.38,22.8,72670,0.841,0.691,0.238,0.1,339.3
1PW035,JT15D-1,TF,Pratt & Whitney (Canada),3.3,9.76,9790,0.148,0.124,0.051,0.023,71
1PW036,JT15D-4,TF,Pratt & Whitney (Canada),2.68,10.1,11120,0.1697,0.143,0.059,0.0261,81
1PW037,"JT15D-5, -5A, -5B",TF,Pratt & Whitney (Canada),2.1,12.3,12900,0.2054,0.1727,0.066,0.0296,93
1PW038,JT15D-5C,TF,Pratt & Whitney (Canada),2.1,13.3,14190,0.2151,0.1802,0.0678,0.0276,92
1PW001,JT3D-3B,TF,Pratt & Whitney,1.4,13.6,80060,1.174,0.932,0.346,0.135,466
1PW003,JT3D-7,TF,Pratt & Whitney,1.4,13.4,84520,1.254,1.032,0.389,0.128,482
1PW008,JT8D-11,MTF,Pratt & Whitney,1,17.17,66720,1.121,0.9136,0.3339,0.1455,475
1PW010,JT8D-15,MTF,Pratt & Whitney,1.03,16.81,68940,1.178,0.945,0.3402,0.1477,486
1PW011,JT8D-15A,MTF,Pratt & Whitney,1.08,16.45,68940,1.115,0.8955,0.312,0.1372,454
1PW013,JT8D-17,MTF,Pratt & Whitney,1.02,17.01,71170,1.245,0.997,0.354,0.1474,499
1PW014,JT8D-17A,MTF,Pratt & Whitney,1.05,16.87,71170,1.173,0.9344,0.3304,0.1401,470
1PW015,JT8D-17AR,MTF,Pratt & Whitney,0.96,17.28,77420,1.365,1.047,0.3574,0.1477,512
1PW016,JT8D-17R,MTF,Pratt & Whitney,0.97,18.24,77420,1.417,1.103,0.3755,0.155,537
1PW017,JT8D-209,MTF,Pratt & Whitney,1.8,18.3,85600,1.191,0.9828,0.3592,0.1303,469
1PW018,JT8D-217,MTF,Pratt & Whitney,1.73,19.66,92740,1.32,1.078,0.3833,0.1372,504
4PW069,JT8D-217A,MTF,Pratt & Whitney,1.73,19.66,92740,1.32,1.078,0.3833,0.1372,504
4PW070,JT8D-217C,MTF,Pratt & Whitney,1.7,19.05,92740,1.282,1.045,0.363,0.137,493
4PW071,JT8D-219,MTF,Pratt & Whitney,1.7,20.27,96520,1.354,1.085,0.3817,0.1344,501
8PW085,JT8D-7,MTF,Pratt & Whitney,1.05,15.82,62270,0.9892,0.8113,0.2861,0.1291,419
1PW007,JT8D-9,MTF,Pratt & Whitney,1.04,15.88,64500,1.04,0.8453,0.2977,0.1323,433
1PW032,JT9D-20J,TF,Pratt & Whitney,5.1,23.5,222400,2.315,1.902,0.679,0.238,883
1PW033,JT9D-59A,TF,Pratt & Whitney,4.9,24.5,235800,2.4419,1.9996,0.6804,0.237,900
