N044.13.00.000 E022.40.00.000
N044.06.00.000 E027.17.00.000
N044.05.00.000 E027.18.00.000
N044.04.00.000 E027.19.00.000
N044.04.00.000 E027.21.00.000
N044.02.59.000 E027.22.00.000
N044.01.59.000 E027.23.00.000
N044.00.59.000 E027.23.59.000
N044.00.59.000 E027.26.00.000
N044.00.59.000 E027.27.00.000
N044.01.59.000 E027.29.00.000
N044.00.59.000 E027.30.59.000
N044.00.59.000 E027.32.00.000
N044.00.59.000 E027.34.00.000
N044.00.59.000 E027.36.00.000
N044.00.59.000 E027.37.00.000
N044.01.59.000 E027.38.00.000
N044.01.59.000 E027.38.59.000
N044.00.59.000 E027.41.00.000
N044.00.00.000 E027.41.00.000
N043.59.00.000 E027.42.00.000
N043.58.00.000 E027.42.59.000
N043.57.00.000 E027.44.00.000
N043.57.00.000 E027.45.59.000
N043.58.00.000 E027.47.00.000
N043.58.00.000 E027.49.00.000
N043.58.00.000 E027.49.59.000
N043.59.00.000 E027.52.00.000
N044.00.00.000 E027.53.00.000
N044.00.00.000 E027.55.00.000
N044.00.00.000 E027.56.00.000
N043.59.00.000 E027.56.00.000
N043.57.00.000 E027.57.00.000
N043.55.59.000 E027.57.00.000
N043.54.59.000 E027.57.59.000
N043.53.59.000 E027.59.00.000
N043.53.00.000 E027.59.00.000
N043.52.00.000 E027.59.00.000
N043.51.00.000 E028.00.00.000
N043.50.00.000 E028.02.00.000
N043.50.00.000 E028.03.00.000
N043.49.00.000 E028.04.59.000
N043.47.59.000 E028.07.59.000
N043.46.59.000 E028.08.59.000
N043.46.59.000 E028.11.00.000
N043.46.59.000 E028.12.59.000
N043.45.59.000 E028.14.00.000
N043.45.59.000 E028.15.59.000
N043.45.00.000 E028.18.00.000
N043.45.00.000 E028.19.59.000
N043.45.00.000 E028.22.00.000
N043.45.00.000 E028.23.00.000
N043.44.00.000 E028.26.00.000
N043.44.00.000 E028.27.59.000
N043.44.00.000 E028.30.00.000
N043.44.00.000 E028.32.00.000
N043.44.00.000 E028.34.00.000
N043.45.00.000 E028.36.00.000
N043.39.59.000 E029.00.00.000
N043.44.00.000 E029.02.00.000
N043.40.59.000 E030.32.00.000
N042.47.59.000 E030.45.00.000
N042.07.00.000 E029.00.00.000
N042.00.00.000 E028.10.00.000
N041.59.00.000 E027.59.00.000
N041.59.00.000 E027.57.59.000
N041.59.00.000 E027.57.00.000
N041.59.00.000 E027.56.00.000
N041.59.00.000 E027.53.59.000
N042.00.00.000 E027.53.59.000
N042.00.00.000 E027.52.00.000
N042.00.00.000 E027.51.00.000
N042.00.00.000 E027.49.59.000
N041.59.00.000 E027.49.00.000
N041.58.00.000 E027.49.00.000
N041.57.00.000 E027.49.59.000
N041.57.00.000 E027.49.00.000
N041.57.00.000 E027.47.00.000
N041.58.00.000 E027.47.00.000
N041.58.00.000 E027.45.00.000
N041.59.00.000 E027.44.00.000
N041.59.00.000 E027.42.59.000
N041.59.00.000 E027.42.00.000
N041.58.00.000 E027.41.00.000
N041.58.00.000 E027.40.00.000
N041.57.00.000 E027.38.00.000
N041.57.00.000 E027.37.00.000
N041.57.00.000 E027.36.00.000
N041.55.59.000 E027.34.59.000
N041.54.59.000 E027.34.00.000
N041.53.59.000 E027.34.00.000
N041.54.59.000 E027.32.00.000
N041.55.59.000 E027.32.00.000
N041.57.00.000 E027.30.59.000
N041.57.00.000 E027.29.00.000
N041.58.00.000 E027.27.59.000
N041.59.00.000 E027.27.00.000
N041.59.00.000 E027.26.00.000
N042.00.00.000 E027.25.00.000
N042.00.59.000 E027.23.59.000
N042.01.59.000 E027.23.00.000
N042.02.59.000 E027.23.00.000
N042.04.00.000 E027.21.00.000
N042.04.00.000 E027.19.59.000
N042.05.00.000 E027.19.59.000
N042.05.00.000 E027.19.00.000
N042.06.00.000 E027.17.00.000
N042.06.00.000 E027.15.59.000
N042.06.00.000 E027.14.00.000
N042.05.00.000 E027.12.59.000
N042.05.00.000 E027.12.00.000
N042.04.00.000 E027.12.00.000
N042.04.00.000 E027.11.00.000
N042.04.00.000 E027.10.00.000
N042.04.00.000 E027.07.59.000
N042.05.00.000 E027.07.00.000
N042.05.00.000 E027.04.59.000
N042.05.00.000 E027.03.59.000
N042.05.00.000 E027.02.00.000
N042.04.00.000 E027.02.00.000
N042.02.59.000 E027.00.59.000
N042.01.59.000 E027.00.00.000
N042.01.59.000 E026.59.00.000
N042.00.59.000 E026.59.00.000
N042.00.00.000 E026.57.59.000
N042.00.00.000 E026.56.00.000
N041.59.00.000 E026.53.59.000
N041.59.00.000 E026.53.00.000
N041.59.00.000 E026.51.00.000
N041.58.00.000 E026.49.59.000
N041.58.00.000 E026.49.00.000
N041.59.00.000 E026.47.00.000
N041.58.00.000 E026.45.59.000
N041.57.00.000 E026.45.00.000
N041.58.00.000 E026.44.00.000
N041.58.00.000 E026.42.00.000
N041.58.00.000 E026.41.00.000
N041.58.00.000 E026.38.59.000
N041.59.00.000 E026.37.00.000
N041.58.00.000 E026.37.00.000
N041.57.00.000 E026.36.00.000
N041.55.59.000 E026.34.59.000
N041.54.59.000 E026.34.00.000
N041.53.59.000 E026.34.59.000
N041.53.00.000 E026.34.00.000
N041.53.00.000 E026.34.59.000
N041.52.00.000 E026.34.00.000
N041.51.00.000 E026.33.00.000
N041.50.00.000 E026.32.00.000
N041.50.00.000 E026.30.00.000
N041.50.00.000 E026.27.00.000
N041.50.00.000 E026.23.59.000
N041.49.00.000 E026.22.00.000
N041.47.59.000 E026.21.00.000
N041.46.59.000 E026.19.59.000
N041.45.59.000 E026.19.59.000
N041.44.00.000 E026.19.59.000
N041.43.00.000 E026.22.00.000
N041.43.00.000 E026.21.00.000
N041.43.00.000 E026.19.00.000
N041.43.00.000 E026.18.00.000
N041.43.00.000 E026.17.00.000
N041.44.00.000 E026.15.00.000
N041.44.00.000 E026.14.00.000
N041.45.00.000 E026.12.59.000
N041.44.00.000 E026.12.00.000
N041.44.00.000 E026.11.00.000
N041.45.00.000 E026.10.00.000
N041.44.00.000 E026.07.59.000
N041.44.00.000 E026.07.00.000
N041.43.00.000 E026.06.00.000
N041.43.00.000 E026.03.59.000
N041.42.00.000 E026.03.59.000
N041.40.59.000 E026.03.59.000
N041.39.59.000 E026.03.59.000
N041.38.59.000 E026.03.59.000
N041.38.00.000 E026.06.00.000
N041.38.00.000 E026.07.00.000
N041.37.00.000 E026.07.59.000
N041.36.00.000 E026.08.59.000
N041.35.00.000 E026.08.59.000
N041.32.59.000 E026.08.59.000
N041.32.59.000 E026.10.00.000
N041.31.59.000 E026.11.00.000
N041.30.59.000 E026.11.00.000
N041.30.00.000 E026.10.00.000
N041.29.00.000 E026.08.59.000
N041.28.00.000 E026.10.00.000
N041.27.00.000 E026.11.00.000
N041.25.59.000 E026.11.00.000
N041.25.59.000 E026.10.00.000
N041.24.59.000 E026.10.00.000
N041.23.00.000 E026.08.59.000
N041.22.00.000 E026.07.59.000
N041.22.00.000 E026.06.00.000
N041.21.00.000 E026.04.59.000
N041.21.00.000 E026.03.59.000
N041.21.00.000 E026.02.00.000
N041.21.00.000 E026.00.59.000
N041.20.00.000 E026.00.00.000
N041.19.00.000 E025.59.00.000
N041.19.00.000 E025.57.00.000
N041.19.00.000 E025.56.00.000
N041.17.59.000 E025.53.59.000
N041.17.59.000 E025.53.00.000
N041.19.00.000 E025.52.00.000
N041.20.00.000 E025.51.00.000
N041.21.00.000 E025.49.59.000
N041.20.00.000 E025.48.00.000
N041.19.00.000 E025.47.00.000
N041.19.00.000 E025.45.59.000
N041.19.00.000 E025.45.00.000
N041.19.00.000 E025.42.59.000
N041.17.59.000 E025.42.59.000
N041.17.59.000 E025.42.00.000
N041.17.59.000 E025.40.00.000
N041.19.00.000 E025.38.59.000
N041.17.59.000 E025.37.00.000
N041.17.59.000 E025.36.00.000
N041.19.00.000 E025.34.59.000
N041.19.00.000 E025.33.00.000
N041.16.59.000 E025.32.00.000
N041.16.59.000 E025.30.59.000
N041.16.59.000 E025.30.00.000
N041.16.59.000 E025.27.59.000
N041.16.59.000 E025.27.00.000
N041.15.59.000 E025.26.00.000
N041.15.59.000 E025.25.00.000
N041.15.00.000 E025.23.00.000
N041.15.00.000 E025.22.00.000
N041.15.00.000 E025.19.59.000
N041.15.00.000 E025.19.00.000
N041.14.00.000 E025.17.00.000
N041.15.00.000 E025.15.59.000
N041.15.00.000 E025.14.00.000
N041.15.59.000 E025.14.00.000
N041.16.59.000 E025.12.59.000
N041.17.59.000 E025.11.00.000
N041.19.00.000 E025.11.00.000
N041.19.00.000 E025.10.00.000
N041.19.00.000 E025.07.59.000
N041.20.00.000 E025.07.00.000
N041.20.00.000 E025.06.00.000
N041.20.00.000 E025.04.59.000
N041.21.00.000 E025.03.59.000
N041.22.00.000 E025.03.00.000
N041.22.00.000 E025.00.59.000
N041.23.00.000 E024.59.00.000
N041.23.00.000 E024.57.59.000
N041.23.00.000 E024.57.00.000
N041.23.59.000 E024.55.00.000
N041.23.59.000 E024.53.59.000
N041.23.59.000 E024.53.00.000
N041.23.59.000 E024.51.00.000
N041.23.59.000 E024.49.59.000
N041.23.00.000 E024.49.00.000
N041.22.00.000 E024.49.00.000
N041.21.00.000 E024.49.00.000
N041.22.00.000 E024.47.00.000
N041.22.00.000 E024.45.59.000
N041.23.00.000 E024.45.00.000
N041.23.59.000 E024.44.00.000
N041.24.59.000 E024.44.00.000
N041.24.59.000 E024.42.00.000
N041.24.59.000 E024.40.00.000
N041.25.59.000 E024.40.00.000
N041.25.59.000 E024.38.59.000
N041.25.59.000 E024.37.00.000
N041.27.00.000 E024.36.00.000
N041.28.00.000 E024.36.00.000
N041.28.00.000 E024.34.59.000
N041.29.00.000 E024.34.00.000
N041.30.00.000 E024.34.00.000
N041.30.59.000 E024.34.00.000
N041.31.59.000 E024.33.00.000
N041.32.59.000 E024.33.00.000
N041.34.00.000 E024.32.00.000
N041.34.00.000 E024.30.59.000
N041.32.59.000 E024.30.00.000
N041.32.59.000 E024.29.00.000
N041.31.59.000 E024.27.59.000
N041.31.59.000 E024.27.00.000
N041.31.59.000 E024.26.00.000
N041.31.59.000 E024.23.59.000
N041.31.59.000 E024.22.00.000
N041.30.59.000 E024.21.00.000
N041.30.59.000 E024.19.59.000
N041.30.59.000 E024.18.00.000
N041.31.59.000 E024.18.00.000
N041.32.59.000 E024.18.00.000
N041.34.00.000 E024.17.00.000
N041.34.00.000 E024.15.59.000
N041.34.00.000 E024.15.00.000
N041.32.59.000 E024.14.00.000
N041.32.59.000 E024.12.59.000
N041.31.59.000 E024.12.00.000
N041.30.59.000 E024.11.00.000
N041.31.59.000 E024.10.00.000
N041.31.59.000 E024.07.59.000
N041.32.59.000 E024.07.00.000
N041.32.59.000 E024.04.59.000
N041.31.59.000 E024.03.59.000
N041.30.59.000 E024.03.59.000
N041.30.00.000 E024.03.59.000
N041.28.00.000 E024.03.59.000
N041.28.00.000 E024.03.00.000
N041.27.00.000 E024.02.00.000
N041.28.00.000 E024.00.59.000
N041.27.00.000 E024.00.00.000
N041.27.00.000 E023.59.00.000
N041.25.59.000 E023.57.59.000
N041.27.00.000 E023.57.00.000
N041.28.00.000 E023.56.00.000
N041.29.00.000 E023.55.00.000
N041.28.00.000 E023.53.59.000
N041.27.00.000 E023.53.00.000
N041.27.00.000 E023.52.00.000
N041.25.59.000 E023.51.00.000
N041.25.59.000 E023.49.00.000
N041.25.59.000 E023.48.00.000
N041.24.59.000 E023.47.00.000
N041.23.59.000 E023.45.59.000
N041.23.59.000 E023.45.00.000
N041.23.59.000 E023.42.59.000
N041.23.59.000 E023.41.00.000
N041.23.59.000 E023.40.00.000
N041.23.00.000 E023.38.59.000
N041.23.00.000 E023.37.00.000
N041.23.00.000 E023.36.00.000
N041.23.00.000 E023.34.59.000
N041.23.00.000 E023.33.00.000
N041.23.59.000 E023.32.00.000
N041.23.59.000 E023.30.59.000
N041.23.59.000 E023.29.00.000
N041.23.59.000 E023.27.59.000
N041.23.59.000 E023.27.00.000
N041.23.59.000 E023.25.00.000
N041.23.00.000 E023.23.59.000
N041.23.00.000 E023.22.00.000
N041.22.00.000 E023.21.00.000
N041.22.00.000 E023.19.59.000
N041.23.00.000 E023.19.59.000
N041.23.59.000 E023.19.00.000
N041.23.59.000 E023.17.00.000
N041.23.59.000 E023.15.59.000
N041.23.00.000 E023.15.00.000
N041.22.00.000 E023.14.00.000
N041.21.00.000 E023.14.00.000
N041.20.00.000 E023.14.00.000
N041.20.00.000 E023.12.00.000
N041.19.00.000 E023.10.00.000
N041.19.00.000 E023.07.59.000
N041.19.00.000 E023.07.00.000
N041.19.00.000 E023.06.00.000
N041.19.00.000 E023.03.59.000
N041.20.00.000 E023.03.00.000
N041.20.00.000 E023.00.59.000
N041.20.00.000 E023.00.00.000
N041.20.00.000 E022.57.59.000
N041.20.00.000 E022.56.00.000
N041.21.00.000 E022.57.59.000
N041.22.00.000 E022.57.59.000
N041.23.00.000 E022.57.59.000
N041.24.59.000 E022.57.00.000
N041.25.59.000 E022.57.59.000
N041.25.59.000 E022.59.00.000
N041.27.00.000 E022.57.59.000
N041.28.00.000 E022.57.59.000
N041.30.00.000 E022.57.00.000
N041.30.00.000 E022.57.59.000
N041.31.59.000 E022.57.59.000
N041.32.59.000 E022.57.59.000
N041.34.00.000 E022.57.59.000
N041.35.00.000 E022.57.59.000
N041.36.00.000 E022.57.00.000
N041.37.00.000 E022.57.00.000
N041.38.00.000 E022.57.00.000
N041.38.59.000 E022.57.59.000
N041.38.59.000 E022.59.00.000
N041.39.59.000 E022.59.00.000
N041.40.59.000 E023.00.00.000
N041.42.00.000 E023.00.59.000
N041.43.00.000 E023.00.59.000
N041.44.00.000 E023.00.59.000
N041.45.00.000 E023.00.59.000
N041.45.59.000 E022.59.00.000
N041.45.59.000 E022.57.59.000
N041.46.59.000 E022.57.59.000
N041.47.59.000 E022.57.00.000
N041.50.00.000 E022.56.00.000
N041.51.00.000 E022.56.00.000
N041.52.00.000 E022.55.00.000
N041.53.00.000 E022.53.59.000
N041.53.59.000 E022.53.59.000
N041.54.59.000 E022.53.00.000
N041.55.59.000 E022.52.00.000
N041.57.00.000 E022.52.00.000
N041.58.00.000 E022.52.00.000
N042.00.00.000 E022.52.00.000
N042.00.59.000 E022.52.00.000
N042.00.59.000 E022.49.59.000
N042.01.59.000 E022.49.00.000
N042.02.59.000 E022.48.00.000
N042.01.59.000 E022.47.00.000
N042.02.59.000 E022.45.00.000
N042.02.59.000 E022.44.00.000
N042.04.00.000 E022.42.59.000
N042.04.00.000 E022.42.00.000
N042.04.00.000 E022.40.00.000
N042.05.00.000 E022.38.59.000
N042.06.00.000 E022.38.00.000
N042.06.00.000 E022.36.00.000
N042.07.00.000 E022.34.59.000
N042.07.59.000 E022.34.00.000
N042.07.59.000 E022.32.00.000
N042.08.59.000 E022.30.59.000
N042.09.59.000 E022.30.59.000
N042.10.59.000 E022.30.00.000
N042.12.00.000 E022.29.00.000
N042.12.00.000 E022.27.59.000
N042.14.00.000 E022.27.00.000
N042.15.00.000 E022.27.00.000
N042.15.59.000 E022.26.00.000
N042.15.59.000 E022.25.00.000
N042.19.00.000 E022.22.00.000
N042.19.00.000 E022.23.00.000
N042.20.00.000 E022.23.59.000
N042.20.00.000 E022.26.00.000
N042.20.00.000 E022.27.00.000
N042.21.00.000 E022.27.59.000
N042.22.00.000 E022.27.59.000
N042.23.00.000 E022.29.00.000
N042.23.59.000 E022.30.00.000
N042.23.59.000 E022.30.59.000
N042.24.59.000 E022.32.00.000
N042.25.59.000 E022.32.00.000
N042.27.00.000 E022.32.00.000
N042.28.00.000 E022.33.00.000
N042.29.00.000 E022.33.00.000
N042.30.00.000 E022.33.00.000
N042.30.59.000 E022.32.00.000
N042.31.59.000 E022.30.00.000
N042.32.59.000 E022.29.00.000
N042.34.00.000 E022.27.59.000
N042.34.00.000 E022.27.00.000
N042.35.00.000 E022.26.00.000
N042.36.00.000 E022.27.00.000
N042.37.00.000 E022.27.00.000
N042.38.59.000 E022.27.59.000
N042.39.59.000 E022.27.59.000
N042.40.59.000 E022.27.59.000
N042.42.00.000 E022.27.59.000
N042.43.00.000 E022.29.00.000
N042.44.00.000 E022.30.00.000
N042.45.00.000 E022.30.00.000
N042.45.59.000 E022.29.00.000
N042.46.59.000 E022.27.59.000
N042.47.59.000 E022.27.00.000
N042.50.00.000 E022.27.00.000
N042.50.00.000 E022.27.59.000
N042.51.00.000 E022.29.00.000
N042.51.00.000 E022.30.00.000
N042.52.00.000 E022.30.59.000
N042.53.00.000 E022.32.00.000
N042.52.00.000 E022.34.00.000
N042.53.00.000 E022.34.59.000
N042.53.59.000 E022.36.00.000
N042.53.00.000 E022.37.00.000
N042.53.00.000 E022.38.59.000
N042.52.00.000 E022.40.00.000
N042.53.00.000 E022.41.00.000
N042.53.00.000 E022.42.59.000
N042.53.00.000 E022.44.00.000
N042.53.59.000 E022.45.00.000
N042.54.59.000 E022.45.59.000
N042.55.59.000 E022.47.00.000
N042.57.00.000 E022.47.00.000
N042.59.00.000 E022.47.00.000
N043.00.00.000 E022.48.00.000
N043.00.00.000 E022.49.59.000
N043.00.00.000 E022.51.00.000
N043.00.59.000 E022.52.00.000
N043.01.59.000 E022.53.59.000
N043.02.59.000 E022.53.59.000
N043.04.00.000 E022.55.00.000
N043.05.00.000 E022.56.00.000
N043.05.00.000 E022.57.00.000
N043.06.00.000 E022.57.59.000
N043.07.00.000 E022.59.00.000
N043.08.59.000 E023.00.00.000
N043.09.59.000 E023.00.00.000
N043.10.59.000 E023.00.00.000
N043.12.00.000 E022.59.00.000
N043.12.00.000 E022.57.00.000
N043.13.00.000 E022.56.00.000
N043.13.00.000 E022.55.00.000
N043.14.00.000 E022.53.59.000
N043.15.00.000 E022.52.00.000
N043.15.59.000 E022.52.00.000
N043.16.59.000 E022.51.00.000
N043.18.57.000 E022.49.30.000
N043.19.08.000 E022.48.05.000
N043.20.22.000 E022.49.22.000
N043.20.36.000 E022.47.42.000
N043.22.00.000 E022.45.59.000
N043.22.50.000 E022.45.03.000
N043.23.59.000 E022.42.59.000
N043.23.59.000 E022.41.00.000
N043.23.59.000 E022.40.00.000
N043.25.59.000 E022.40.00.000
N043.25.59.000 E022.38.00.000
N043.25.59.000 E022.37.00.000
N043.27.00.000 E022.34.59.000
N043.28.00.000 E022.34.59.000
N043.28.00.000 E022.34.00.000
N043.28.00.000 E022.32.00.000
N043.29.00.000 E022.30.00.000
N043.30.00.000 E022.30.00.000
N043.31.59.000 E022.30.00.000
N043.32.59.000 E022.30.00.000
N043.34.00.000 E022.30.00.000
N043.34.39.000 E022.28.37.000
N043.35.23.000 E022.28.08.000
N043.36.19.000 E022.27.06.000
N043.37.41.000 E022.27.38.000
N043.38.37.000 E022.26.40.000
N043.39.32.000 E022.25.17.000
N043.40.59.000 E022.25.00.000
N043.41.44.000 E022.24.04.000
N043.43.00.000 E022.23.59.000
N043.44.00.000 E022.23.59.000
N043.45.59.000 E022.23.59.000
N043.46.59.000 E022.23.00.000
N043.47.59.000 E022.22.00.000
N043.49.00.000 E022.22.00.000
N043.50.00.000 E022.22.00.000
N043.51.00.000 E022.23.00.000
N043.53.00.000 E022.23.00.000
N043.53.59.000 E022.23.59.000
N043.54.59.000 E022.23.59.000
N043.55.59.000 E022.23.59.000
N043.57.00.000 E022.23.59.000
N043.58.00.000 E022.25.00.000
N043.59.00.000 E022.25.00.000
N044.00.00.000 E022.25.00.000
N044.00.59.000 E022.27.00.000
N044.00.59.000 E022.27.59.000
N044.00.59.000 E022.30.00.000
N044.00.59.000 E022.32.00.000
N044.01.59.000 E022.32.00.000
N044.02.59.000 E022.32.00.000
N044.02.59.000 E022.34.00.000
N044.04.00.000 E022.34.59.000
N044.04.00.000 E022.37.00.000
N044.05.00.000 E022.37.00.000
N044.06.00.000 E022.37.00.000
N044.07.00.000 E022.36.00.000
N044.07.59.000 E022.37.00.000
N044.08.59.000 E022.38.00.000
N044.09.59.000 E022.38.00.000
N044.10.59.000 E022.38.00.000
N044.12.00.000 E022.38.59.000
N044.13.00.000 E022.40.00.000
