0, 0 , -4.0 , -4.0, Large , 0, BS
4C, 76 , -2.0 , 0.0, Large , 0, BS

4D, 77 , -2.0 , 0.5, Large , 0, BS

4E, 78 , -2.0 , 1.0, Large , 0, BS

4F, 79 , -2.0 , 1.5, Large , 0, BS

50, 80 , -2.0 , 2.0, Large , 0, BS

51, 81 , -2.0 , 2.5, Large , 0, BS

52, 82 , -2.0 , 3.0, Large , 0, BS

53, 83 , -2.0 , 3.5, Large , 0, BS

54, 84 , -2.0 , 4.0, Large , 0, BS

55, 85 , -1.5 , -4.0, Large , 0, BS

56, 86 , -1.5 , -3.5, Large , 0, BS

57, 87 , -1.5 , -3.0, Large , 0, BS

58, 88 , -1.5 , -2.5, Large , 0, BS

59, 89 , -1.5 , -2.0, Large , 0, BS

5A, 90 , -1.5 , -1.5, Large , 0, BS

5B, 91 , -1.5 , -1.0, Large , 0, BS

5C, 92 , -1.5 , -0.5, Large , 0, BS

5D, 93 , -1.5 , 0.0, Large , 0, BS

5E, 94 , -1.5 , 0.5, Large , 0, BS

5F, 95 , -1.5 , 1.0, Large , 0, BS

60, 96 , -1.5 , 1.5, Large , 0, BS

61, 97 , -1.5 , 2.0, Large , 0, BS

62, 98 , -1.5 , 2.5, Large , 0, BS

63, 99 , -1.5 , 3.0, Large , 0, BS

64, 100 , -1.5 , 3.5, Large , 0, BS

65, 101 , -1.5 , 4.0, Large , 0, BS

66, 102 , -1.0 , -4.0, Large , 0, BS

67, 103 , -1.0 , -3.5, Large , 0, BS

68, 104 , -1.0 , -3.0, Large , 0, BS

69, 105 , -1.0 , -2.5, Large , 0, BS

6A, 106 , -1.0 , -2.0, Large , 0, BS

6B, 107 , -1.0 , -1.5, Large , 0, BS

6C, 108 , -1.0 , -1.0, Large , 0, BS

6D, 109 , -1.0 , -0.5, Large , 0, BS

6E, 110 , -1.0 , 0.0, Large , 0, BS

6F, 111 , -1.0 , 0.5, Large , 0, BS

70, 112 , -1.0 , 1.0, Large , 0, BS

71, 113 , -1.0 , 1.5, Large , 0, BS

72, 114 , -1.0 , 2.0, Large , 0, BS

73, 115 , -1.0 , 2.5, Large , 0, BS

74, 116 , -1.0 , 3.0, Large , 0, BS

75, 117 , -1.0 , 3.5, Large , 0, BS

76, 118 , -1.0 , 4.0, Large , 0, BS

77, 119 , -0.5 , -4.0, Large , 0, BS

78, 120 , -0.5 , -3.5, Large , 0, BS

79, 121 , -0.5 , -3.0, Large , 0, BS

7A, 122 , -0.5 , -2.5, Large , 0, BS

7B, 123 , -0.5 , -2.0, Large , 0, BS

7C, 124 , -0.5 , -1.5, Large , 0, BS

7D, 125 , -0.5 , -1.0, Large , 0, BS

7E, 126 , -0.5 , -0.5, Large , 0, BS

7F, 127 , -0.5 , 0.0, Large , 0, BS

80, 128 , -0.5 , 0.5, Large , 0, BS

81, 129 , -0.5 , 1.0, Large , 0, BS

82, 130 , -0.5 , 1.5, Large , 0, BS

83, 131 , -0.5 , 2.0, Large , 0, BS

84, 132 , -0.5 , 2.5, Large , 0, BS

85, 133 , -0.5 , 3.0, Large , 0, BS

86, 134 , -0.5 , 3.5, Large , 0, BS

87, 135 , -0.5 , 4.0, Large , 0, BS

88, 136 , 0.0 , -4.0, Large , 0, BS

89, 137 , 0.0 , -3.5, Large , 0, BS

8A, 138 , 0.0 , -3.0, Large , 0, BS

8B, 139 , 0.0 , -2.5, Large , 0, BS

8C, 140 , 0.0 , -2.0, Large , 0, BS

8D, 141 , 0.0 , -1.5, Large , 0, BS

8E, 142 , 0.0 , -1.0, Large , 0, BS

8F, 143 , 0.0 , -0.5, Large , 0, BS

90, 144 , 0.0 , 0.0, Large , 0, BS

91, 145 , 0.0 , 0.5, Large , 0, BS

92, 146 , 0.0 , 1.0, Large , 0, BS

93, 147 , 0.0 , 1.5, Large , 0, BS

94, 148 , 0.0 , 2.0, Large , 0, BS

95, 149 , 0.0 , 2.5, Large , 0, BS

96, 150 , 0.0 , 3.0, Large , 0, BS

97, 151 , 0.0 , 3.5, Large , 0, BS

98, 152 , 0.0 , 4.0, Large , 0, BS

99, 153 , 0.5 , -4.0, Large , 0, BS

9A, 154 , 0.5 , -3.5, Large , 0, BS

9B, 155 , 0.5 , -3.0, Large , 0, BS

9C, 156 , 0.5 , -2.5, Large , 0, BS

9D, 157 , 0.5 , -2.0, Large , 0, BS

9E, 158 , 0.5 , -1.5, Large , 0, BS

9F, 159 , 0.5 , -1.0, Large , 0, BS

A0, 160 , 0.5 , -0.5, Large , 0, BS

A1, 161 , 0.5 , 0.0, Large , 0, BS

A2, 162 , 0.5 , 0.5, Large , 0, BS

A3, 163 , 0.5 , 1.0, Large , 0, BS

A4, 164 , 0.5 , 1.5, Large , 0, BS

A5, 165 , 0.5 , 2.0, Large , 0, BS

A6, 166 , 0.5 , 2.5, Large , 0, BS

A7, 167 , 0.5 , 3.0, Large , 0, BS

A8, 168 , 0.5 , 3.5, Large , 0, BS

A9, 169 , 0.5 , 4.0, Large , 0, BS

AA, 170 , 1.0 , -4.0, Large , 0, BS

AB, 171 , 1.0 , -3.5, Large , 0, BS

AC, 172 , 1.0 , -3.0, Large , 0, BS

AD, 173 , 1.0 , -2.5, Large , 0, BS

AE, 174 , 1.0 , -2.0, Large , 0, BS

AF, 175 , 1.0 , -1.5, Large , 0, BS

B0, 176 , 1.0 , -1.0, Large , 0, BS

B1, 177 , 1.0 , -0.5, Large , 0, BS

B2, 178 , 1.0 , 0.0, Large , 0, BS

B3, 179 , 1.0 , 0.5, Large , 0, BS

B4, 180 , 1.0 , 1.0, Large , 0, BS

B5, 181 , 1.0 , 1.5, Large , 0, BS

B6, 182 , 1.0 , 2.0, Large , 0, BS

B7, 183 , 1.0 , 2.5, Large , 0, BS

B8, 184 , 1.0 , 3.0, Large , 0, BS

B9, 185 , 1.0 , 3.5, Large , 0, BS

BA, 186 , 1.0 , 4.0, Large , 0, BS

BB, 187 , 1.5 , -4.0, Large , 0, BS

BC, 188 , 1.5 , -3.5, Large , 0, BS

BD, 189 , 1.5 , -3.0, Large , 0, BS

BE, 190 , 1.5 , -2.5, Large , 0, BS

BF, 191 , 1.5 , -2.0, Large , 0, BS

C0, 192 , 1.5 , -1.5, Large , 0, BS

C1, 193 , 1.5 , -1.0, Large , 0, BS

C2, 194 , 1.5 , -0.5, Large , 0, BS

C3, 195 , 1.5 , 0.0, Large , 0, BS

C4, 196 , 1.5 , 0.5, Large , 0, BS

C5, 197 , 1.5 , 1.0, Large , 0, BS

C6, 198 , 1.5 , 1.5, Large , 0, BS

C7, 199 , 1.5 , 2.0, Large , 0, BS

C8, 200 , 1.5 , 2.5, Large , 0, BS

C9, 201 , 1.5 , 3.0, Large , 0, BS

CA, 202 , 1.5 , 3.5, Large , 0, BS

CB, 203 , 1.5 , 4.0, Large , 0, BS

CC, 204 , 2.0 , -4.0, Large , 0, BS

CD, 205 , 2.0 , -3.5, Large , 0, BS

CE, 206 , 2.0 , -3.0, Large , 0, BS

CF, 207 , 2.0 , -2.5, Large , 0, BS

D0, 208 , 2.0 , -2.0, Large , 0, BS

D1, 209 , 2.0 , -1.5, Large , 0, BS

D2, 210 , 2.0 , -1.0, Large , 0, BS

D3, 211 , 2.0 , -0.5, Large , 0, BS

D4, 212 , 2.0 , 0.0, Large , 0, BS

D5, 213 , 2.0 , 0.5, Large , 0, BS

D6, 214 , 2.0 , 1.0, Large , 0, BS

D7, 215 , 2.0 , 1.5, Large , 0, BS

D8, 216 , 2.0 , 2.0, Large , 0, BS

D9, 217 , 2.0 , 2.5, Large , 0, BS

DA, 218 , 2.0 , 3.0, Large , 0, BS

DB, 219 , 2.0 , 3.5, Large , 0, BS

DC, 220 , 2.0 , 4.0, Large , 0, BS

DD, 221 , 2.5 , -4.0, Large , 0, BS

DE, 222 , 2.5 , -3.5, Large , 0, BS

DF, 223 , 2.5 , -3.0, Large , 0, BS

E0, 224 , 2.5 , -2.5, Large , 0, BS

E1, 225 , 2.5 , -2.0, Large , 0, BS

E2, 226 , 2.5 , -1.5, Large , 0, BS

E3, 227 , 2.5 , -1.0, Large , 0, BS

E4, 228 , 2.5 , -0.5, Large , 0, BS

E5, 229 , 2.5 , 0.0, Large , 0, BS

E6, 230 , 2.5 , 0.5, Large , 0, BS

E7, 231 , 2.5 , 1.0, Large , 0, BS

E8, 232 , 2.5 , 1.5, Large , 0, BS

E9, 233 , 2.5 , 2.0, Large , 0, BS

EA, 234 , 2.5 , 2.5, Large , 0, BS

EB, 235 , 2.5 , 3.0, Large , 0, BS

EC, 236 , 2.5 , 3.5, Large , 0, BS

ED, 237 , 2.5 , 4.0, Large , 0, BS

EE, 238 , 3.0 , -4.0, Large , 0, BS

EF, 239 , 3.0 , -3.5, Large , 0, BS

F0, 240 , 3.0 , -3.0, Large , 0, BS

F1, 241 , 3.0 , -2.5, Large , 0, BS

F2, 242 , 3.0 , -2.0, Large , 0, BS

F3, 243 , 3.0 , -1.5, Large , 0, BS

F4, 244 , 3.0 , -1.0, Large , 0, BS

F5, 245 , 3.0 , -0.5, Large , 0, BS

F6, 246 , 3.0 , 0.0, Large , 0, BS

F7, 247 , 3.0 , 0.5, Large , 0, BS

F8, 248 , 3.0 , 1.0, Large , 0, BS

F9, 249 , 3.0 , 1.5, Large , 0, BS

FA, 250 , 3.0 , 2.0, Large , 0, BS

FB, 251 , 3.0 , 2.5, Large , 0, BS

FC, 252 , 3.0 , 3.0, Large , 0, BS

FD, 253 , 3.0 , 3.5, Large , 0, BS

FE, 254 , 3.0 , 4.0, Large , 0, BS

FF, 255 , 3.5 , -4.0, Large , 0, BS

100, 256 , 3.5 , -3.5, Large , 0, BS

101, 257 , 3.5 , -3.0, Large , 0, BS

102, 258 , 3.5 , -2.5, Large , 0, BS

103, 259 , 3.5 , -2.0, Large , 0, BS

104, 260 , 3.5 , -1.5, Large , 0, BS

105, 261 , 3.5 , -1.0, Large , 0, BS

106, 262 , 3.5 , -0.5, Large , 0, BS

107, 263 , 3.5 , 0.0, Large , 0, BS

108, 264 , 3.5 , 0.5, Large , 0, BS

109, 265 , 3.5 , 1.0, Large , 0, BS

10A, 266 , 3.5 , 1.5, Large , 0, BS

10B, 267 , 3.5 , 2.0, Large , 0, BS

10C, 268 , 3.5 , 2.5, Large , 0, BS

10D, 269 , 3.5 , 3.0, Large , 0, BS

10E, 270 , 3.5 , 3.5, Large , 0, BS

10F, 271 , 3.5 , 4.0, Large , 0, BS

110, 272 , 4.0 , -4.0, Large , 0, BS

111, 273 , 4.0 , -3.5, Large , 0, BS

112, 274 , 4.0 , -3.0, Large , 0, BS

113, 275 , 4.0 , -2.5, Large , 0, BS

114, 276 , 4.0 , -2.0, Large , 0, BS

115, 277 , 4.0 , -1.5, Large , 0, BS

116, 278 , 4.0 , -1.0, Large , 0, BS

117, 279 , 4.0 , -0.5, Large , 0, BS

118, 280 , 4.0 , 0.0, Large , 0, BS

119, 281 , 4.0 , 0.5, Large , 0, BS

11A, 282 , 4.0 , 1.0, Large , 0, BS

11B, 283 , 4.0 , 1.5, Large , 0, BS

11C, 284 , 4.0 , 2.0, Large , 0, BS

11D, 285 , 4.0 , 2.5, Large , 0, BS

11E, 286 , 4.0 , 3.0, Large , 0, BS

11F, 287 , 4.0 , 3.5, Large , 0, BS

120, 288 , 4.0 , 4.0, Large , 0, BS

